ID,x.coord,y.coord,angle,distance,RSSI,rel,dist1
24364,2,0,90,3.605551275,-59,33.69006753,"(3,4]"
24365,2,0,120,3.605551275,-56,63.69006753,"(3,4]"
24366,2,0,150,3.605551275,-56,93.69006753,"(3,4]"
24367,2,0,180,3.605551275,-59,123.6900675,"(3,4]"
24370,2,0,270,3.605551275,-58,-146.3099325,"(3,4]"
24371,2,0,300,3.605551275,-52,-116.3099325,"(3,4]"
24372,2,0,330,3.605551275,-54,-86.30993247,"(3,4]"
24373,2,1,0,2.828427125,-53,-45,"(2,3]"
24374,2,1,30,2.828427125,-56,-15,"(2,3]"
24375,2,1,60,2.828427125,-59,15,"(2,3]"
24377,2,1,120,2.828427125,-59,75,"(2,3]"
24382,2,1,270,2.828427125,-59,-135,"(2,3]"
24383,2,1,300,2.828427125,-56,-105,"(2,3]"
24384,2,1,330,2.828427125,-53,-75,"(2,3]"
24385,2,2,0,2.236067977,-52,-26.56505118,"(2,3]"
24386,2,2,30,2.236067977,-56,3.434948823,"(2,3]"
24389,2,2,120,2.236067977,-59,93.43494882,"(2,3]"
24390,2,2,150,2.236067977,-58,123.4349488,"(2,3]"
24391,2,2,180,2.236067977,-60,153.4349488,"(2,3]"
24395,2,2,300,2.236067977,-56,-86.56505118,"(2,3]"
24396,2,2,330,2.236067977,-54,-56.56505118,"(2,3]"
24397,2,3,0,2,-53,0,"[1,2]"
24398,2,3,30,2,-56,30,"[1,2]"
24399,2,3,60,2,-58,60,"[1,2]"
24401,2,3,120,2,-54,120,"[1,2]"
24402,2,3,150,2,-58,150,"[1,2]"
24403,2,3,180,2,-59,180,"[1,2]"
24408,2,3,330,2,-56,-30,"[1,2]"
24409,2,4,0,2.236067977,-53,26.56505118,"(2,3]"
24410,2,4,30,2.236067977,-53,56.56505118,"(2,3]"
24411,2,4,60,2.236067977,-56,86.56505118,"(2,3]"
24420,2,4,330,2.236067977,-56,-3.434948823,"(2,3]"
24421,2,5,0,2.828427125,-56,45,"(2,3]"
24423,2,5,60,2.828427125,-59,105,"(2,3]"
24433,2,6,0,3.605551275,-59,56.30993247,"(3,4]"
24434,2,6,30,3.605551275,-58,86.30993247,"(3,4]"
24435,2,6,60,3.605551275,-56,116.3099325,"(3,4]"
24445,3,0,0,3.16227766,-58,-71.56505118,"(3,4]"
24448,3,0,90,3.16227766,-58,18.43494882,"(3,4]"
24449,3,0,120,3.16227766,-56,48.43494882,"(3,4]"
24450,3,0,150,3.16227766,-56,78.43494882,"(3,4]"
24451,3,0,180,3.16227766,-58,108.4349488,"(3,4]"
24455,3,0,300,3.16227766,-58,-131.5650512,"(3,4]"
24456,3,0,330,3.16227766,-56,-101.5650512,"(3,4]"
24457,3,1,0,2.236067977,-56,-63.43494882,"(2,3]"
24460,3,1,90,2.236067977,-59,26.56505118,"(2,3]"
24461,3,1,120,2.236067977,-58,56.56505118,"(2,3]"
24462,3,1,150,2.236067977,-57,86.56505118,"(2,3]"
24467,3,1,300,2.236067977,-57,-123.4349488,"(2,3]"
24468,3,1,330,2.236067977,-56,-93.43494882,"(2,3]"
24469,3,2,0,1.414213562,-54,-45,"[1,2]"
24470,3,2,30,1.414213562,-58,-15,"[1,2]"
24473,3,2,120,1.414213562,-59,75,"[1,2]"
24474,3,2,150,1.414213562,-58,105,"[1,2]"
24479,3,2,300,1.414213562,-62,-105,"[1,2]"
24480,3,2,330,1.414213562,-56,-75,"[1,2]"
24481,3,3,0,1,-59,0,"[1,2]"
24485,3,3,120,1,-59,120,"[1,2]"
24486,3,3,150,1,-58,150,"[1,2]"
24487,3,3,180,1,-60,180,"[1,2]"
24491,3,3,300,1,-59,-60,"[1,2]"
24493,3,4,0,1.414213562,-59,45,"[1,2]"
24494,3,4,30,1.414213562,-59,75,"[1,2]"
24503,3,4,300,1.414213562,-59,-15,"[1,2]"
24504,3,4,330,1.414213562,-58,15,"[1,2]"
24506,3,5,30,2.236067977,-59,93.43494882,"(2,3]"
24514,3,5,270,2.236067977,-58,-26.56505118,"(2,3]"
24515,3,5,300,2.236067977,-56,3.434948823,"(2,3]"
24516,3,5,330,2.236067977,-56,33.43494882,"(2,3]"
24533,0,0,120,5,-59,83.13010235,"(4,5]"
24534,0,0,150,5,-56,113.1301024,"(4,5]"
24535,0,0,180,5,-58,143.1301024,"(4,5]"
24537,0,0,240,5,-57,-156.8698976,"(4,5]"
